IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
129.146.254.39,443,443,true,LAX,North America,Los Angeles,351,3.56
141.147.111.134,443,443,true,FRA,Europe,Frankfurt,281,3.44
141.147.91.47,443,443,true,SIN,Asia Pacific,Singapore,310,3.29
141.147.70.55,443,443,true,FRA,Europe,Frankfurt,279,3.18
129.153.126.67,443,443,true,LAX,North America,Los Angeles,472,3.18
79.72.75.198,80,443,true,LHR,Europe,London,215,3.13
193.122.1.0,8443,443,true,FRA,Europe,Frankfurt,332,3.12
141.147.70.245,443,443,true,FRA,Europe,Frankfurt,233,3.05
158.180.49.11,8443,443,true,FRA,Europe,Frankfurt,303,3.01
141.147.82.5,443,443,true,FRA,Europe,Frankfurt,330,2.96
158.178.206.197,2053,443,true,CDG,Europe,Paris,239,2.94
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,229,2.94
165.1.123.204,443,443,true,SCL,South America,Santiago,352,2.92
193.122.107.147,443,443,true,ICN,Asia Pacific,Seoul,173,2.89
129.159.132.0,2053,443,true,TLV,Middle East,Tel Aviv,296,2.86
158.178.156.56,2053,443,true,AMS,Europe,Amsterdam,282,2.85
89.168.43.31,2053,443,true,CDG,Europe,Paris,289,2.84
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,293,2.83
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,203,2.83
144.22.252.124,443,443,true,GRU,South America,São Paulo,391,2.79
141.147.85.167,8443,443,true,LHR,Europe,London,323,2.77
141.144.198.113,8443,443,true,AMS,Europe,Amsterdam,276,2.69
89.168.43.31,8443,443,true,CDG,Europe,Paris,406,2.65
193.122.107.147,443,443,true,ICN,Asia Pacific,Seoul,191,2.59
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,307,2.58
140.238.158.238,8080,443,true,YYZ,North America,Toronto,327,2.55
150.230.20.156,8443,443,true,AMS,Europe,Amsterdam,296,2.55
146.235.211.70,2082,443,true,SJC,North America,San Jose,247,2.50
129.159.83.88,8443,443,true,IAD,North America,Ashburn,312,2.46
150.230.20.156,2053,443,true,AMS,Europe,Amsterdam,353,2.46
141.144.198.113,2053,443,true,AMS,Europe,Amsterdam,285,2.27
158.178.206.197,8443,443,true,CDG,Europe,Paris,294,2.20
146.235.211.70,2083,443,true,SJC,North America,San Jose,274,2.20
158.101.175.51,443,443,true,FRA,Europe,Frankfurt,282,2.09
141.147.98.82,443,443,true,FRA,Europe,Frankfurt,308,2.02
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,262,2.01
141.147.62.184,443,443,true,SIN,Asia Pacific,Singapore,271,2.00
146.235.59.153,2053,443,true,GRU,South America,São Paulo,453,1.95
79.72.75.198,2053,443,true,LHR,Europe,London,328,1.93
193.122.1.0,2053,443,true,FRA,Europe,Frankfurt,253,1.92
158.101.175.51,443,443,true,FRA,Europe,Frankfurt,202,1.84
129.159.132.0,8443,443,true,TLV,Middle East,Tel Aviv,214,1.79
158.178.156.56,8443,443,true,AMS,Europe,Amsterdam,280,1.77
168.138.141.235,2053,443,true,GRU,South America,São Paulo,405,1.76
132.226.163.224,2053,443,true,GRU,South America,São Paulo,481,1.76
140.238.158.238,443,443,true,YYZ,North America,Toronto,293,1.70
158.180.49.11,2053,443,true,FRA,Europe,Frankfurt,312,1.44
89.168.80.244,443,443,true,FRA,Europe,Frankfurt,161,1.26
146.235.59.153,8443,443,true,GRU,South America,São Paulo,426,1.18
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,275,1.05
132.226.163.224,8443,443,true,GRU,South America,São Paulo,406,1.00
129.153.39.213,2053,443,true,IAD,North America,Ashburn,450,0.96
89.168.68.57,2053,443,true,FRA,Europe,Frankfurt,297,0.77
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,255,0.72
129.159.84.71,443,443,true,IAD,North America,Ashburn,316,0.67
129.153.39.213,8443,443,true,IAD,North America,Ashburn,463,0.32
141.147.61.116,2053,443,true,FRA,Europe,Frankfurt,331,0.32
129.146.134.77,443,443,true,LAX,North America,Los Angeles,212,0.04
129.146.175.160,443,443,true,LAX,North America,Los Angeles,208,0.03
164.152.17.14,443,443,true,ORD,North America,Chicago,264,0.02
141.147.33.190,443,443,true,FRA,Europe,Frankfurt,347,0.02
168.138.184.172,443,443,true,SIN,Asia Pacific,Singapore,60,0.00
168.138.47.238,8443,80,false,KIX,Asia Pacific,Osaka,70,0.00
152.67.222.250,80,80,false,ICN,Asia Pacific,Seoul,70,0.00
132.226.7.217,443,443,true,NRT,Asia Pacific,Tokyo,71,0.00
150.230.62.27,443,80,false,KIX,Asia Pacific,Osaka,80,0.00
140.83.57.116,8443,80,false,KIX,Asia Pacific,Osaka,83,0.00
158.179.164.17,2052,2052,false,ICN,Asia Pacific,Seoul,90,0.00
193.122.127.19,2052,80,false,ICN,Asia Pacific,Seoul,93,0.00
146.56.133.140,2096,80,false,ICN,Asia Pacific,Seoul,95,0.00
193.122.127.19,8880,80,false,ICN,Asia Pacific,Seoul,96,0.00
193.123.87.179,80,80,false,CDG,Europe,Paris,98,0.00
193.122.114.161,2052,2086,false,ICN,Asia Pacific,Seoul,98,0.00
193.123.233.143,2083,80,false,ICN,Asia Pacific,Seoul,100,0.00
193.123.233.143,2096,80,false,ICN,Asia Pacific,Seoul,102,0.00
193.122.107.53,2052,80,false,ICN,Asia Pacific,Seoul,105,0.00
193.122.107.53,2052,80,false,ICN,Asia Pacific,Seoul,109,0.00
193.122.114.161,2052,2086,false,ICN,Asia Pacific,Seoul,111,0.00
146.56.39.126,2052,2052,false,ICN,Asia Pacific,Seoul,119,0.00
146.56.133.140,2083,80,false,ICN,Asia Pacific,Seoul,121,0.00
146.56.176.143,443,443,true,ICN,Asia Pacific,Seoul,137,0.00
193.122.125.14,8880,8880,false,ICN,Asia Pacific,Seoul,137,0.00
144.24.76.213,2052,2052,false,ICN,Asia Pacific,Seoul,140,0.00
193.122.127.19,2086,2086,false,ICN,Asia Pacific,Seoul,141,0.00
140.238.50.112,443,8443,true,NRT,Asia Pacific,Tokyo,150,0.00
146.56.161.229,443,443,true,ICN,Asia Pacific,Seoul,158,0.00
131.186.60.210,443,443,true,NRT,Asia Pacific,Tokyo,165,0.00
140.238.19.2,443,80,false,ICN,Asia Pacific,Seoul,166,0.00
193.122.61.167,80,80,false,FRA,Europe,Frankfurt,169,0.00
140.238.29.117,443,80,false,ICN,Asia Pacific,Seoul,169,0.00
165.1.76.23,80,80,false,SJC,North America,San Jose,174,0.00
132.145.82.209,443,443,true,ICN,Asia Pacific,Seoul,178,0.00
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,187,0.00
152.70.155.147,2095,2095,false,LAX,North America,Los Angeles,188,0.00
152.67.222.167,443,443,true,ICN,Asia Pacific,Seoul,188,0.00
152.70.155.147,2086,2086,false,LAX,North America,Los Angeles,192,0.00
143.47.179.237,80,80,false,AMS,Europe,Amsterdam,204,0.00
152.70.155.147,2052,2052,false,LAX,North America,Los Angeles,207,0.00
152.70.155.147,80,80,false,LAX,North America,Los Angeles,209,0.00
152.70.155.147,8080,8080,false,LAX,North America,Los Angeles,209,0.00
89.168.122.44,80,80,false,FRA,Europe,Frankfurt,213,0.00
140.238.33.161,443,443,true,NRT,Asia Pacific,Tokyo,219,0.00
152.70.83.37,443,443,true,KIX,Asia Pacific,Osaka,222,0.00
152.70.155.147,8880,8880,false,LAX,North America,Los Angeles,230,0.00
144.24.200.164,80,80,false,MRS,Europe,Marseille,233,0.00
150.136.61.148,443,443,true,IAD,North America,Ashburn,238,0.00
152.70.147.64,80,80,false,LAX,North America,Los Angeles,246,0.00
129.80.188.174,2096,443,true,IAD,North America,Ashburn,267,0.00
141.147.73.148,443,443,true,LHR,Europe,London,272,0.00
192.18.134.22,443,443,true,SJC,North America,San Jose,287,0.00
141.144.253.109,443,443,true,SIN,Asia Pacific,Singapore,293,0.00
152.70.112.158,443,443,true,SJC,North America,San Jose,301,0.00
129.153.119.97,443,443,true,LAX,North America,Los Angeles,310,0.00
152.67.233.64,443,443,true,SJC,North America,San Jose,321,0.00
164.152.34.166,80,8080,false,GRU,South America,São Paulo,342,0.00
140.238.88.47,443,443,true,LHR,Europe,London,349,0.00
192.18.148.248,443,443,true,YYZ,North America,Toronto,364,0.00
129.146.60.210,443,443,true,LAX,North America,Los Angeles,386,0.00
